target,n_compounds,mean_similarity,std_similarity,min_similarity,max_similarity
PIK3CB,1443,0.11579568784191042,0.07672593395984811,0.013157894736842105,1.0
PIK3CD,2435,0.11156713100530206,0.06728032332704487,0.00819672131147541,1.0
PIK3CG,2015,0.11015167794985727,0.06846364600577431,0.007874015748031496,0.9540229885057471
PIK4CB,207,0.19282690089360136,0.1558485487508688,0.02857142857142857,0.9452054794520548
PIKFYVE,6,0.13755648350230834,0.10833837583773549,0.06293706293706294,0.4842105263157895
PIM1,2352,0.11296946696812821,0.07976852430956922,0.007352941176470588,0.9746835443037974
PIM2,1646,0.13288046563435174,0.09882469559961433,0.023076923076923078,0.9746835443037974
PIM3,773,0.1625241919755151,0.12648322748621843,0.022222222222222223,0.9493670886075949
PIP5K1A,5,0.37790524512853224,0.21028749357345278,0.12878787878787878,0.6966292134831461
PIP5K1C,49,0.29501988911495375,0.21292341388507022,0.05825242718446602,0.8620689655172413
PIP5K2B,35,0.24533980781239578,0.18529337905317825,0.055944055944055944,0.8404255319148937
PIP5K2C,4,0.08626985078788786,0.027089938909592843,0.05737704918032787,0.125
PKAC-alpha,59,0.18462034631619478,0.22215040228118965,0.028037383177570093,1.0
PKAC-beta,5,0.2398603300407852,0.21879714810233963,0.0784313725490196,0.6435643564356436
PKMYT1,28,0.432460703514158,0.1883830018975493,0.05405405405405406,0.8571428571428571
PKN1,42,0.14482938690652894,0.12972244687782816,0.008064516129032258,0.7704918032786885
PKN2,55,0.15339295336845782,0.11958400319239987,0.04065040650406504,0.797752808988764
PLK1,675,0.13832040911652332,0.10977313557922466,0.009433962264150943,1.0
PLK2,95,0.187730917069951,0.18248108063552826,0.03125,0.911504424778761
PLK3,89,0.2077019835412285,0.19387174978800023,0.027522935779816515,0.911504424778761
PLK4,282,0.1842272386795739,0.16901144862739031,0.029411764705882353,1.0
PRKCD,426,0.18234688919190314,0.1655841873725809,0.006172839506172839,0.9595959595959596
PRKCE,200,0.15230611467990887,0.15038616866936882,0.006024096385542169,0.918918918918919
PRKCH,147,0.158465950277008,0.1623699774416216,0.028169014084507043,0.891566265060241
PRKCI,8,0.20335013391480547,0.19236375906314782,0.046511627906976744,0.6435643564356436
PRKCQ,611,0.16475467725718165,0.1444684082066517,0.0273972602739726,0.9595959595959596
PRKD1,84,0.16937126351532825,0.1510843107514131,0.02654867256637168,0.9452054794520548
PRKD2,50,0.20908358538987548,0.18313357403349464,0.036231884057971016,0.9452054794520548
PRKD3,16,0.10551777699354267,0.08187213579404477,0.038461538461538464,0.6435643564356436
PRKG1,11,0.11460224449573393,0.10719828197124322,0.05303030303030303,0.63
PRKG2,10,0.12398211838778864,0.15200901826536573,0.047619047619047616,0.684931506849315
PRKR,77,0.12825325182788475,0.11816052667604536,0.019417475728155338,0.8472222222222222
PRKX,7,0.1561035541448874,0.17143502564588547,0.06201550387596899,0.6435643564356436
PYK2,99,0.17285326040403504,0.16199076432232537,0.03816793893129771,0.8846153846153846
QSK,62,0.22804816004858483,0.1904869249981721,0.04142011834319527,0.9361702127659575
RAF1,1065,0.14123760477935757,0.10153967475622758,0.024193548387096774,0.9183673469387755
RET,428,0.1134562715301437,0.08153269915874806,0.018018018018018018,0.968421052631579
RIOK2,3,0.5684946203598688,0.07074407699047745,0.47368421052631576,0.6435643564356436
RIPK1,130,0.15645351722059456,0.14607505774428944,0.030534351145038167,0.9333333333333333
RIPK2,158,0.15659319087051907,0.14171217122383653,0.03278688524590164,0.8690476190476191
RIPK3,18,0.22771279603047004,0.2185115263484897,0.03759398496240601,0.803921568627451
RIPK4,3,0.2522999222999223,0.25550722550606486,0.06993006993006994,0.6136363636363636
RIPK5,2,0.06451612903225806,0.0,0.06451612903225806,0.06451612903225806
ROCK1,544,0.12992575489281813,0.09181455426052966,0.024390243902439025,0.9523809523809523
ROCK2,1171,0.1336595351531737,0.08758409806884875,0.0,0.9838709677419355
